;EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
65;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;349.0;1.0;0.0;0.0;0.0;41832.0;28967.0;5096.0;2146.0;4144.0;4648.0;56.0;0.0;0.0;0.0;504.0;61600.0;23.404;0.0
66;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;34.0;0.0;0.0;0.0;0.0;3564.0;3366.0;416.0;249.0;464.0;396.0;4.0;0.0;0.0;0.0;36.0;4220.0;1.833;0.0
67;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;29.0;0.0;0.0;0.0;0.0;1710.0;1102.0;195.0;80.0;285.0;190.0;5.0;0.0;0.0;0.0;45.0;5225.0;1.301;0.0
68;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;28.0;0.0;0.0;0.0;0.0;5805.0;3612.0;680.0;269.0;580.0;645.0;5.0;0.0;0.0;0.0;45.0;5275.0;2.95;0.0
69;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;32.0;0.0;0.0;0.0;0.0;1368.0;1216.0;156.0;88.0;228.0;152.0;4.0;0.0;0.0;0.0;36.0;4180.0;0.817;0.0
70;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;407.0;1.0;0.0;0.0;0.0;41832.0;33781.0;5096.0;2511.0;4144.0;4648.0;56.0;0.0;0.0;0.0;504.0;61600.0;23.418;0.0
71;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000003;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;35.0;0.0;0.0;0.0;0.0;4455.0;3465.0;520.0;257.0;580.0;495.0;5.0;0.0;0.0;0.0;45.0;5275.0;2.3;0.0
72;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000003;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;29.0;0.0;0.0;0.0;0.0;6966.0;3741.0;816.0;279.0;696.0;774.0;6.0;0.0;0.0;0.0;54.0;6330.0;3.567;0.0
73;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000003;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;344.0;0.0;0.0;0.0;0.0;35856.0;28552.0;4368.0;2124.0;3572.0;3984.0;48.0;0.0;0.0;0.0;432.0;52800.0;20.041;0.0
74;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000003;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;48.0;0.0;0.0;0.0;0.0;6237.0;4752.0;728.0;351.0;812.0;693.0;7.0;0.0;0.0;0.0;63.0;7385.0;3.433;0.0
75;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000003;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;20.0;0.0;0.0;0.0;0.0;1368.0;760.0;156.0;55.0;228.0;152.0;4.0;0.0;0.0;0.0;36.0;4180.0;0.834;0.0
76;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000003;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;30.0;0.0;0.0;0.0;0.0;4644.0;3870.0;544.0;289.0;464.0;516.0;4.0;0.0;0.0;0.0;36.0;4220.0;2.234;0.0
77;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000003;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;30.0;0.0;0.0;0.0;0.0;2052.0;1140.0;234.0;83.0;342.0;228.0;6.0;0.0;0.0;0.0;54.0;6270.0;1.018;0.0
78;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000003;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;382.0;0.0;0.0;0.0;0.0;35856.0;31706.0;4368.0;2364.0;3552.0;3984.0;48.0;0.0;0.0;0.0;432.0;52800.0;20.639;0.0
79;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;17.0;0.0;0.0;0.0;0.0;3564.0;1683.0;416.0;124.0;464.0;396.0;4.0;0.0;0.0;0.0;36.0;4220.0;1.601;0.0
80;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;23.0;0.0;0.0;0.0;0.0;4644.0;2967.0;544.0;222.0;464.0;516.0;4.0;0.0;0.0;0.0;36.0;4220.0;2.049;0.0
81;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;260.0;1.0;0.0;0.0;0.0;32868.0;21580.0;4004.0;1598.0;3256.0;3652.0;44.0;0.0;0.0;0.0;396.0;48400.0;15.728;0.0
82;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;26.0;0.0;0.0;0.0;0.0;3564.0;2574.0;416.0;190.0;464.0;396.0;4.0;0.0;0.0;0.0;36.0;4220.0;1.501;0.0
83;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;17.0;0.0;0.0;0.0;0.0;1368.0;646.0;156.0;46.0;228.0;152.0;4.0;0.0;0.0;0.0;36.0;4180.0;0.433;0.0
84;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;16.0;0.0;0.0;0.0;0.0;4644.0;2064.0;544.0;153.0;464.0;516.0;4.0;0.0;0.0;0.0;36.0;4220.0;2.032;0.0
85;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;18.0;0.0;0.0;0.0;0.0;1368.0;684.0;156.0;49.0;228.0;152.0;4.0;0.0;0.0;0.0;36.0;4180.0;0.499;0.0
86;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;330.0;1.0;0.0;0.0;0.0;33615.0;27390.0;4095.0;2035.0;3330.0;3735.0;45.0;0.0;0.0;0.0;405.0;49500.0;16.093;0.0
105;ACA;AIR CANADA;ESTRANGEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0.0;0.0;0.0;0.0;0.0;24734.0;21580.0;4764.0;2255.0;0.0;83.0;1.0;313740.0;0.0;0.0;298.0;57407.0;0.417;0.0
126;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBAQ;ARARAQUARA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;192.0;2.0;0.0;0.0;0.0;79092.0;32448.0;13032.0;2510.0;7384.0;8788.0;52.0;0.0;0.0;0.0;468.0;77269.0;46.9833;564.0
127;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBAT;ALTA FLORESTA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;501.0;643.0;1.0;0.0;0.0;0.0;0.0;0.0;2.78333;0.0
128;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBCJ;PARAUAPEBAS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;60.0;0.0;0.0;0.0;0.0;48576.0;33120.0;7746.0;2825.0;4440.0;6072.0;11.0;0.0;0.0;0.0;88.0;14043.0;25.6;626.0
129;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMA;MARABÁ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;611.0;0.0;296.0;449.0;1.0;0.0;0.0;0.0;0.0;1363.0;1.73333;0.0
130;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMA;MARABÁ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1202.0;0.0;649.0;898.0;2.0;0.0;0.0;0.0;0.0;2680.0;3.76667;0.0
131;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMD;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;49.0;0.0;0.0;0.0;0.0;24948.0;22638.0;5638.0;1880.0;2725.0;4158.0;9.0;0.0;0.0;0.0;54.0;12216.0;16.35;403.0
132;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;885.0;1420.0;2.0;0.0;0.0;0.0;0.0;0.0;5.01667;0.0
133;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBTU;TUCURUÍ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0.0;0.0;0.0;0.0;0.0;2700.0;0.0;427.0;0.0;220.0;300.0;1.0;0.0;0.0;0.0;9.0;1424.0;1.4;0.0
134;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBTU;TUCURUÍ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;32.0;1.0;0.0;0.0;0.0;14400.0;9600.0;3426.0;784.0;1710.0;2400.0;8.0;0.0;0.0;0.0;48.0;11428.0;10.5667;226.0
135;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNEB;PARAGOMINAS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;22.0;0.0;0.0;0.0;0.0;14272.0;4906.0;2573.0;404.0;1544.0;1784.0;8.0;0.0;0.0;0.0;64.0;11559.0;9.56667;184.0
136;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNMZ;PORTO DE MOZ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;6.0;0.0;0.0;0.0;0.0;3771.0;2514.0;564.0;235.0;315.0;419.0;1.0;0.0;0.0;0.0;9.0;1348.0;1.83333;112.0
137;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNMZ;PORTO DE MOZ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;36.0;0.0;0.0;0.0;0.0;17598.0;15084.0;4006.0;1304.0;2036.0;2933.0;7.0;0.0;0.0;0.0;42.0;9569.0;12.1;418.0
138;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNSM;SALINÓPOLIS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;7.0;0.0;0.0;0.0;0.0;8288.0;1036.0;1774.0;90.0;979.0;1184.0;8.0;0.0;0.0;0.0;56.0;12013.0;6.41667;101.0
139;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2579.0;0.0;1316.0;1760.0;8.0;0.0;0.0;0.0;0.0;11746.0;8.2;0.0
140;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;53.0;0.0;0.0;0.0;0.0;14080.0;11660.0;2567.0;967.0;1386.0;1760.0;8.0;0.0;0.0;0.0;64.0;11687.0;9.18333;437.0
141;ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;25.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0
